Quest.;Curso;Turno;Semestre;sexo;idade;CF;Estado civil;RMI;RF;Fonte de renda;Municipio;Acesso a Internet;Horas de acesso;MTG;CUCMF;ACAI;UICSF;UIDA;UBDA;CEA;CFPP;CPC;PQC;PQNC;IPIC;PIPI;SNC;CCPI;MGCO;FDC;DU;TDP;CATCP;CPE;ECE;MIN;MIP;ADC;IMPORTAÇÃO;TPI
1;Química;tarde;V;0;26;8;0;160,00;1200,00;5;Juazeiro do Norte;1;2;2;1;1;1;1;0;0;0;0;;1;0;1;2;1;1;4;1;2;0;1;3;0;1;2;1;1
2;Direito;tarde;II;1;19;5;0;0,00;3500,00;3;Juazeiro do Norte;1;3;2;1;3;0;1;1;0;0;0;;1;1;0;2;1;1;4;3;4;0;1;1;1;0;2;0;
3;Direito;noite;IX;0;22;4;0;600,00;600,00;4;Aiuaba;1;2;2;1;1;1;1;1;0;2;0;;1;1;1;1;0;0;0;0;0;0;0;0;0;3;2;0;
4;Direito;noite;IX;0;24;3;0;960,00;960,00;5;Campos Sales;0;2;0;1;1;1;1;0;1;2;0;;1;1;1;2;1;2;6;3;1;0;0;3;1;0;2;0;
5;Direito;noite;III;1;21;5;0;0,00;5000,00;0;Juazeiro do Norte;1;3;2;1;3;1;1;0;0;0;1;0;;1;1;2;1;3;5;3;4;0;1;1;0;0;2;0;
6;Direito;tarde;III;0;20;3;0;0,00;2300,00;1;Juazeiro do Norte;1;2;0;2;1;0;1;0;1;2;0;;1;1;1;2;1;1;5;3;3;1;1;3;0;1;2;1;1
7;Direito;tarde;III;0;19;2;1;0,00;2200,00;0;Farias Brito;1;2;3;2;1;1;1;0;1;2;0;;1;1;1;2;1;1;6;3;3;0;0;0;0;3;2;0;
8;Direito;tarde;II;1;18;4;0;2500,00;12500,00;0;Juazeiro do Norte;1;2;2;0;1;1;1;0;0;0;1;1;;0;0;2;1;1;3;3;3;1;0;3;0;1;2;1;3
9;Direito;noite;I;0;19;2;0;0,00;11000,00;0;Crato;1;3;2;0;1;0;1;0;0;0;0;;1;0;1;2;1;1;3;3;2;1;1;1;1;0;2;1;1
10;Direito;tarde;II;1;19;2;0;998,00;1996,00;5;Juazeiro do Norte;1;2;0;2;1;0;1;0;1;0;0;;1;1;1;2;1;1;4;3;3;1;1;1;0;0;0;0;
11;Direito;tarde;IV;1;19;4;0;600,00;20000,00;5;Juazeiro do Norte;1;2;0;0;1;0;1;0;0;0;1;2;;2;1;2;1;2;6;1;2;0;0;0;0;1;0;1;1
12;Direito;tarde;II;1;19;2;1;0,00;7000,00;0;Crato;1;3;0;2;1;1;1;0;0;0;0;;1;1;0;2;1;0;5;1;1;1;0;2;0;3;2;0;
13;Direito;tarde;III;1;17;3;0;0,00;998,00;0;Crato;1;2;0;2;1;0;1;0;0;0;0;;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2;0;
14;Direito;tarde;VI;0;20;2;1;1250,00;1650,00;4;Barbalha;1;3;0;4;2;0;1;0;1;0;1;1;;1;1;1;1;1;6;3;1;1;1;3;2;2;2;0;
15;Direito;tarde;VI;0;22;5;0;0,00;1996,00;0;Barbalha;1;2;0;0;1;0;1;0;0;0;0;;1;1;1;1;0;0;0;0;0;1;1;1;0;0;2;0;
16;Direito;tarde;VII;1;21;3;0;0,00;1996,00;0;Juazeiro do Norte;1;1;0;2;1;1;1;0;0;0;0;;1;2;1;2;1;3;6;3;1;1;1;0;2;1;0;0;
17;Direito;tarde;VII;1;22;7;0;0,00;2994,00;0;Crato;1;2;0;1;1;1;1;0;0;2;0;;1;2;0;2;0;0;0;0;0;0;0;0;2;1;2;0;
18;Direito;tarde;III;0;18;3;0;0,00;2000,00;0;Juazeiro do Norte;1;1;2;2;1;1;1;0;0;1;1;1;;1;1;2;1;1;4;3;2;1;0;0;2;3;2;1;1
19;Direito;tarde;IV;0;21;5;0;0,00;1495,00;0;Juazeiro do Norte;1;2;2;1;3;1;1;0;0;0;0;;1;2;1;2;1;1;5;3;3;1;0;1;1;3;2;0;
20;Direito;tarde;VIII;0;21;2;0;0,00;998,00;0;Crato;1;2;2;1;1;1;1;0;0;0;0;;1;1;1;2;1;0;6;3;1;1;0;0;0;0;2;0;
21;Direito;tarde;VIII;0;22;3;0;0,00;6000,00;0;Juazeiro do Norte;1;2;0;2;3;1;0;0;0;2;1;1;;1;1;2;1;0;5;3;1;1;0;0;0;0;2;1;0
22;Economia;manhã;VII;1;24;2;0;400,00;1500,00;4;Crato;1;2;2;1;1;0;1;0;0;0;0;;1;2;0;1;1;1;3;1;3;1;0;1;0;3;0;1;0
23;Economia;manhã ;VII;0;20;3;0;120,00;900,00;2;Crato;1;2;3;4;1;0;0;0;0;0;0;;1;1;0;2;1;0;5;1;2;1;0;1;1;3;0;1;1
24;Economia;manhâ;III;0;23;3;0;499,00;1996,00;1;Crato;1;2;0;2;1;0;0;0;0;2;0;;1;0;0;2;1;2;4;1;1;0;1;3;0;0;2;1;1
25;Economia;noite;I;1;22;4;0;600,00;2994,00;3;Araripe;1;3;0;4;0;0;0;0;0;2;0;;1;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;
26;Economia;noite;VII;1;23;1;0;450,00;998,00;4;Crato;1;2;2;1;1;1;1;1;0;0;1;2;;0;0;1;1;3;3;3;1;1;0;1;1;3;3;1;0
27;Economia;noite;VIII;1;25;2;0;998,00;1800,00;1;Caririaçu;1;2;0;1;1;1;1;0;0;2;0;;1;1;0;1;1;3;2;1;1;0;0;3;1;0;2;1;0
28;Economia;manhã;IX;0;22;5;0;0,00;1996,00;0;Crato;1;2;0;2;1;0;0;0;0;0;0;;1;1;1;2;1;1;3;1;2;0;0;0;0;0;2;1;1
29;Economia;manhã;V;0;21;2;0;0,00;800,00;0;Crato;1;2;0;2;1;0;1;0;1;2;0;;1;2;0;2;0;0;0;0;0;0;0;0;0;1;2;0;
30;Economia;manhã;V;0;19;4;0;0,00;0,00;0;Crato;1;3;0;0;1;0;1;0;0;2;0;;1;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;
31;Economia;manhã;IV;1;19;5;0;150,00;1500,00;5;Crato;1;2;0;4;0;0;1;0;1;1;1;2;;1;0;2;1;2;6;1;3;0;0;0;0;0;2;0;
32;Economia;manhã;VIII;0;23;4;0;658,00;1658,00;2;Crato;1;2;0;3;1;0;0;0;0;2;0;;1;1;0;2;0;0;0;0;0;0;0;0;1;1;2;1;1
33;Economia;noite;VIII;1;28;1;0;998,00;998,00;1;Juazeiro do Norte;1;2;0;1;1;1;1;1;0;2;0;;1;1;1;2;1;1;5;1;2;1;1;3;0;0;2;1;0
34;Economia;manhã;V;0;21;5;0;0,00;998,00;0;Crato;1;2;2;0;3;1;1;0;0;1;0;;0;1;1;2;1;0;5;1;2;0;0;1;2;0;0;1;0
35;Economia;noite;VII;0;20;2;0;0,00;454,00;0;Milagres;0;3;0;2;0;0;1;0;0;2;0;;1;1;0;2;1;0;6;1;2;1;0;0;0;0;2;0;
36;Economia;noite;VIII;1;23;4;0;0,00;1800,00;0;Várzea Alegre;1;2;2;2;1;1;1;1;0;0;1;2;;1;0;2;0;0;0;0;0;1;0;1;1;0;2;0;
37;Economia;noite;I;0;19;5;0;300,00;1200,00;1;Altaneira;1;2;2;1;1;0;1;0;1;0;0;;1;2;1;2;1;1;4;1;0;1;0;1;0;0;2;1;1
38;Economia;noite;I;1;19;4;0;350,00;1200,00;1;Santana do Cariri;1;1;0;2;0;0;0;0;0;0;0;;0;2;1;2;0;1;3;3;2;0;0;3;2;0;2;0;
39;Economia;manhã;IV;1;21;3;0;0,00;3000,00;0;Varzea Alegre;1;3;2;0;0;1;1;0;0;0;0;;1;1;0;1;1;3;3;1;0;1;1;1;3;0;0;1;1
40;Economia;noite;VII;1;26;5;0;998,00;2000,00;1;Varzea Alegre;1;2;2;1;1;0;1;0;0;1;0;;1;0;1;0;0;0;0;0;0;0;0;2;1;0;1;0;
41;Historia;noite;I;0;18;4;0;0,00;3500,00;0;Antonina do Norte;1;3;0;0;1;0;1;0;0;2;1;1;0;2;1;2;1;0;4;3;2;1;0;3;2;0;2;1;1
42;Historia;noite;IV;1;19;4;0;998,00;3992,00;1;Nova Olinda;1;3;2;0;1;1;1;0;1;0;0;;;2;1;2;1;3;3;1;2;1;1;1;1;3;2;0;
43;Historia;noite;I;0;18;4;0;954,00;3816,00;1;Assaré;1;1;0;2;1;1;1;0;1;0;1;2;;1;1;2;1;1;5;3;3;1;0;0;0;0;2;1;0
44;Historia;noite;VII;0;22;3;0;400,00;1996,00;4;Crato;1;2;0;2;1;0;1;0;0;2;1;1;;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;
45;Historia;noite;I;1;19;4;0;0,00;1890,00;0;Exu;1;3;0;2;1;0;1;0;1;2;0;;1;2;1;2;1;1;4;3;3;1;0;3;1;3;2;0;
46;Historia;noite;IV;0;21;4;0;0,00;2000,00;0;Juazeiro do Norte;1;3;2;1;1;1;1;0;0;1;0;;1;2;0;2;0;0;0;0;0;1;0;0;0;1;0;0;
47;Historia;noite;IV;0;20;3;0;0,00;1800,00;0;Antonina do Norte;1;3;2;1;1;1;1;0;0;1;0;;1;1;0;2;0;0;0;0;0;1;0;0;0;1;2;0;
48;Historia;noite;VI;1;24;2;4;400,00;500,00;4;Juazeiro do Norte;1;2;2;1;1;0;1;1;1;0;0;;1;2;1;2;1;1;3;3;3;1;1;1;0;1;2;0;
49;Historia;noite;V;0;20;2;0;400,00;400,00;4;Caririaçu;1;2;0;0;0;1;0;0;0;2;0;;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;
50;Historia;noite;VI;0;20;6;0;400,00;0,00;4;Juazeiro do Norte;1;3;2;1;1;1;1;1;0;2;0;;1;2;1;1;1;3;3;1;4;0;1;1;2;0;2;1;0
51;Historia;noite;III;1;20;6;0;0,00;1500,00;3;Juazeiro do Norte;1;1;0;2;1;1;0;0;1;2;0;;1;1;1;1;1;1;3;1;5;0;0;1;2;1;2;1;1
52;Historia;manhã;III;1;19;5;0;400,00;1200,00;2;Juazeiro do Norte;1;2;0;0;1;0;1;0;0;1;0;;0;2;1;2;0;0;0;0;0;0;0;0;0;0;1;0;
53;Historia;manhã;III;0;18;4;0;0,00;1500,00;0;Crato;1;2;0;1;1;1;1;0;1;0;0;;1;2;1;2;0;0;0;0;0;0;0;0;2;2;2;0;
54;Historia;manhã;V;0;19;5;0;0,00;400,00;0;Crato;1;3;0;0;1;0;1;0;0;0;0;;0;0;0;1;1;0;0;3;2;0;0;1;0;1;3;0;
55;Historia;manhã;V;1;22;1;0;998,00;998,00;1;Barbalha;1;2;2;0;0;1;1;0;1;1;0;;1;2;1;1;1;2;5;3;1;0;0;0;0;0;0;0;
56;Historia;noite;III;1;20;5;0;200,00;600,00;2;Varzea Alegre;1;2;2;0;1;0;1;0;0;1;0;;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;1
57;Biologia;noite;IX;1;23;4;0;998,00;998,00;2;Barro;1;1;0;2;1;0;1;0;0;1;0;;1;2;1;2;1;0;6;3;3;0;0;0;1;2;0;0;
58;Biologia;noite;IX;0;23;5;0;998,00;998,00;1;Jardim;1;1;2;0;1;0;1;0;0;0;0;;1;2;0;2;0;0;0;0;0;0;0;0;1;1;2;0;
59;Biologia;noite;IX;0;22;2;0;800,00;800,00;2;Juazeiro do Norte;1;2;2;4;1;1;1;0;1;2;0;;0;0;1;2;1;0;6;3;1;0;0;3;3;3;2;0;
60;Biologia;Integral;II;0;18;6;0;0,00;998,00;0;Juazeiro do Norte;1;1;2;0;1;0;1;0;0;1;0;;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;
61;Biologia;Integral;I;1;18;3;0;0,00;3992,00;0;Juazeiro do Norte;1;2;0;1;1;1;1;1;0;2;1;2;;2;1;2;0;1;6;3;3;1;1;1;1;0;2;1;3
62;Biologia;noite;III;1;28;2;0;500,00;500,00;2;Assaré;1;2;2;1;1;1;1;0;0;0;0;;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;
63;Biologia;noite;III;1;22;2;0;350,00;900,00;2;Assaré;1;2;2;1;1;1;1;0;0;0;0;;1;2;1;2;1;2;4;1;2;1;0;3;1;1;2;0;
64;Biologia;noite;III;0;29;2;2;998,00;998,00;1;Juazeiro do Norte;1;3;2;1;1;0;1;0;1;1;0;;0;0;1;2;0;0;0;0;0;1;1;0;0;0;2;0;
65;Biologia;Integral;III;0;29;12;0;0,00;2000,00;0;Barbalha;1;2;2;0;0;0;1;0;1;2;0;;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
66;Biologia;noite;IV;1;20;5;0;0,00;1996,00;0;Crato;1;3;0;2;1;1;1;0;1;0;1;1;;1;0;1;1;2;3;3;3;1;1;0;1;1;2;1;3
67;Biologia;noite;X;1;24;6;0;0,00;998,00;0;Jardim;1;2;0;0;1;0;0;0;1;0;1;1;;0;1;2;0;0;0;0;0;0;0;0;2;3;2;0;
68;Biologia;Integral;III;0;20;5;0;0,00;998,00;0;Juazeiro do Norte;1;2;0;4;0;1;0;0;0;0;0;;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;
69;Biologia;Integral;III;0;21;2;0;200,00;1700,00;5;Juazeiro do Norte;1;2;2;0;0;1;1;0;0;0;0;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;
70;Biologia;Integral;III;0;20;2;0;0,00;1000,00;0;Crato;1;2;2;1;1;1;1;0;1;0;0;;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;
71;Biologia;Integral;III;0;19;3;0;50,00;2500,00;0;Juazeiro do Norte;1;2;2;1;1;0;1;0;0;0;0;;1;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;
72;Biologia;noite;VI;1;19;3;0;0,00;1000,00;0;Juazeiro do Norte;1;3;0;0;2;0;1;0;0;0;0;;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;
